Data;Zamkniecie
03.01.2017;2257.83
04.01.2017;2270.75
05.01.2017;2269
06.01.2017;2276.98
09.01.2017;2268.9
10.01.2017;2268.9
11.01.2017;2275.32
12.01.2017;2270.44
13.01.2017;2274.64
17.01.2017;2267.89
18.01.2017;2271.89
19.01.2017;2263.69
20.01.2017;2271.31
23.01.2017;2265.2
24.01.2017;2280.07
25.01.2017;2298.37
26.01.2017;2296.68
27.01.2017;2294.69
30.01.2017;2280.9
31.01.2017;2278.87
01.02.2017;2279.55
02.02.2017;2280.85
03.02.2017;2297.42
06.02.2017;2292.56
07.02.2017;2293.08
08.02.2017;2294.67
09.02.2017;2307.87
10.02.2017;2316.1
13.02.2017;2328.25
14.02.2017;2337.58
15.02.2017;2349.25
16.02.2017;2347.22
17.02.2017;2351.16
21.02.2017;2365.38
22.02.2017;2362.82
23.02.2017;2363.81
24.02.2017;2367.34
27.02.2017;2369.75
28.02.2017;2363.64
01.03.2017;2395.96
02.03.2017;2381.92
03.03.2017;2383.12
06.03.2017;2375.31
07.03.2017;2368.39
08.03.2017;2362.98
09.03.2017;2364.87
10.03.2017;2372.6
13.03.2017;2373.47
14.03.2017;2365.45
15.03.2017;2385.26
16.03.2017;2381.38
17.03.2017;2378.25
20.03.2017;2373.47
21.03.2017;2344.02
22.03.2017;2348.45
23.03.2017;2345.96
24.03.2017;2343.98
27.03.2017;2341.59
28.03.2017;2358.57
29.03.2017;2361.13
30.03.2017;2368.06
31.03.2017;2362.72
03.04.2017;2358.84
04.04.2017;2360.16
05.04.2017;2352.95
06.04.2017;2357.49
07.04.2017;2355.54
10.04.2017;2357.16
11.04.2017;2353.78
12.04.2017;2344.93
13.04.2017;2328.95
17.04.2017;2349.01
18.04.2017;2342.19
19.04.2017;2338.17
20.04.2017;2355.84
21.04.2017;2348.69
24.04.2017;2374.15
25.04.2017;2388.61
26.04.2017;2387.45
27.04.2017;2388.77
28.04.2017;2384.2
01.05.2017;2388.33
02.05.2017;2391.17
03.05.2017;2388.13
04.05.2017;2389.52
05.05.2017;2399.29
08.05.2017;2399.38
09.05.2017;2396.92
10.05.2017;2399.63
11.05.2017;2394.44
12.05.2017;2390.9
15.05.2017;2402.32
16.05.2017;2400.67
17.05.2017;2357.03
18.05.2017;2365.72
19.05.2017;2381.73
22.05.2017;2394.02
23.05.2017;2398.42
24.05.2017;2404.39
25.05.2017;2415.07
26.05.2017;2415.82
30.05.2017;2412.91
31.05.2017;2411.8
01.06.2017;2430.06
